"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020- 12- 31","540.73","525.53","545.50","523.15","5.39M","3.08%"
"2020- 12- 30","524.59","530.13","533.26","523.69","1.88M","-1.18%"
"2020- 12- 29","530.87","519.90","536.55","515.48","4.02M","2.26%"
"2020- 12- 28","519.12","516.43","523.66","507.13","2.89M","1.00%"
"2020- 12- 24","513.97","515.12","519.34","512.21","1.14M","-0.10%"
"2020- 12- 23","514.48","524.76","526.32","514.20","2.39M","-2.44%"
"2020- 12- 22","527.33","527.69","530.40","520.50","1.91M","-0.30%"
"2020- 12- 21","528.91","530.05","532.62","521.15","3.89M","-1.04%"
"2020- 12- 18","534.45","533.20","536.37","526.02","4.50M","0.29%"
"2020- 12- 17","532.90","529.00","535.49","526.44","3.19M","1.54%"
"2020- 12- 16","524.83","520.11","527.38","517.69","3.68M","0.97%"
"2020- 12- 15","519.78","518.50","524.70","513.56","3.40M","-0.51%"
"2020- 12- 14","522.42","505.44","524.16","501.18","5.77M","3.82%"
"2020- 12- 11","503.22","495.00","503.34","494.85","3.21M","0.43%"
"2020- 12- 10","501.09","494.56","503.77","492.91","3.02M","1.52%"
"2020- 12- 09","493.60","510.53","514.50","491.29","4.18M","-3.72%"
"2020- 12- 08","512.66","517.90","521.49","505.55","4.23M","-0.60%"
"2020- 12- 07","515.78","500.01","517.76","497.77","4.29M","3.51%"
"2020- 12- 04","498.31","497.50","504.50","493.64","3.67M","0.16%"
"2020- 12- 03","497.52","502.99","508.77","496.04","2.83M","-1.16%"
"2020- 12- 02","503.38","501.62","506.80","493.50","3.03M","-0.24%"
"2020- 12- 01","504.58","492.34","509.47","491.98","5.06M","2.83%"
"2020- 11- 30","490.70","490.08","492.55","481.27","3.53M","-0.13%"
"2020- 11- 27","491.36","486.58","493.25","481.85","2.81M","1.31%"
"2020- 11- 25","485.00","485.13","486.90","478.92","3.60M","0.44%"
"2020- 11- 24","482.88","478.84","484.05","475.89","3.56M","1.31%"
"2020- 11- 23","476.62","490.46","491.15","475.84","5.42M","-2.38%"
"2020- 11- 20","488.24","485.22","494.76","481.57","4.26M","0.74%"
"2020- 11- 19","484.67","482.00","487.80","480.47","2.25M","0.60%"
"2020- 11- 18","481.79","481.95","488.61","477.72","3.63M","0.24%"
"2020- 11- 17","480.63","480.12","487.51","478.85","3.70M","0.32%"
"2020- 11- 16","479.10","480.00","485.58","477.30","3.95M","-0.77%"
"2020- 11- 13","482.84","486.77","488.94","477.80","3.01M","-0.81%"
"2020- 11- 12","486.77","491.00","496.52","480.43","5.07M","-0.81%"
"2020- 11- 11","490.76","483.00","491.68","478.26","5.46M","2.19%"
"2020- 11- 10","480.24","470.95","484.60","463.41","8.31M","2.07%"
