NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1218,리얼돌:부드럽게 다뤄줘요,코이케.Jp,,,(주)영진크리에이티브,20201230,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1219,리얼돌:최고의 명기,코이케.Jp,,,(주)영진크리에이티브,20201016,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1220,마누라 공유하기 - 무삭제판,계장혁,모히또필름,,(주)컨텐츠 빌리지,20201202,개봉영화,장편,한국,1,1000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1221,마더체인지,,,(주)투모션,(주)투모션,20200609,개봉영화,장편,미국,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1222,마사지에 빠진 스튜어디스들,텐사이 후지타,,,(주)영진크리에이티브,20200922,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1223,마을의섹스규칙:한여자 세남자,토미죠 타로,,(주)영진크리에이티브,(주)영진크리에이티브,20200325,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1224,마티나: 위험한 정사,,,(주)소나무픽쳐스,(주)소나무픽쳐스,20200324,개봉영화,장편,크로아티아,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1225,막내 처제 - 무삭제판,계장혁,모히또필름,,(주)컨텐츠 빌리지,20200311,개봉영화,장편,한국,1,1000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1226,막내 처제 2 - 무삭제판,정진호,(주)컨텐츠 빌리지,,(주)컨텐츠 빌리지,20200807,개봉영화,장편,한국,1,1000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1227,막내 형수 2 - 무삭제판,최우성,컨텐츠레드,,(주)컨텐츠 빌리지,20200227,개봉영화,장편,한국,1,1000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1228,막장자매 클라쓰,한길수,주식회사 플릭스코,,주식회사 플릭스코,20201230,개봉영화,장편,한국,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
1229,만족시켜주는 남자들:많이 쌓였어요,토미죠 타로,,(주)영진크리에이티브,(주)영진크리에이티브,20200825,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1230,만취한 동창회의 스와핑,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200201,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
